iter	Passed	Remaining
0	76	76508
1	99	49815
2	123	41039
3	146	36562
4	169	33776
5	191	31780
6	214	30464
7	239	29648
8	260	28633
9	279	27691
10	300	27037
11	319	26331
12	339	25771
13	359	25307
14	380	24988
15	401	24676
16	422	24444
17	443	24203
18	465	24008
19	483	23690
20	503	23490
21	523	23272
22	543	23080
23	565	22978
24	585	22823
25	605	22665
26	623	22472
27	642	22309
28	661	22153
29	680	21994
30	700	21893
31	721	21814
32	740	21701
33	759	21590
34	779	21485
35	799	21406
36	818	21295
37	837	21190
38	857	21129
39	876	21046
40	895	20938
41	914	20864
42	932	20746
43	952	20687
44	970	20602
45	989	20519
46	1008	20447
47	1028	20402
48	1048	20358
49	1067	20280
50	1085	20201
51	1105	20153
52	1124	20099
53	1145	20066
54	1164	20016
55	1182	19935
56	1200	19865
57	1219	19813
58	1239	19773
59	1259	19738
60	1280	19711
61	1298	19640
62	1317	19587
63	1334	19521
64	1354	19490
65	1372	19427
66	1389	19349
67	1407	19295
68	1425	19234
69	1444	19195
70	1463	19150
71	1483	19120
72	1502	19079
73	1522	19048
74	1542	19020
75	1561	18980
76	1580	18945
77	1599	18905
78	1618	18871
79	1638	18844
80	1656	18797
81	1674	18750
82	1694	18725
83	1714	18697
84	1732	18647
85	1750	18606
86	1771	18588
87	1789	18545
88	1809	18521
89	1826	18469
90	1845	18436
91	1864	18401
92	1883	18367
93	1903	18342
94	1921	18307
95	1940	18277
96	1960	18253
97	1979	18219
98	1999	18201
99	2018	18166
100	2036	18123
101	2056	18109
102	2077	18091
103	2098	18080
104	2119	18065
105	2140	18052
106	2160	18032
107	2180	18006
108	2199	17976
109	2220	17962
110	2240	17943
111	2258	17908
112	2279	17891
113	2299	17871
114	2318	17843
115	2339	17826
116	2359	17804
117	2379	17783
118	2399	17765
119	2417	17730
120	2436	17703
121	2455	17673
122	2475	17652
123	2494	17621
124	2513	17595
125	2535	17585
126	2554	17556
127	2571	17520
128	2590	17488
129	2609	17466
130	2628	17437
131	2645	17398
132	2665	17378
133	2684	17349
134	2703	17324
135	2723	17304
136	2743	17279
137	2762	17254
138	2780	17220
139	2799	17196
140	2818	17173
141	2837	17146
142	2856	17118
143	2874	17089
144	2895	17070
145	2913	17043
146	2931	17009
147	2951	16989
148	2969	16962
149	2988	16936
150	3007	16911
151	3026	16882
152	3045	16857
153	3064	16834
154	3078	16783
155	3096	16752
156	3113	16718
157	3133	16696
158	3151	16666
159	3169	16638
160	3189	16623
161	3208	16594
162	3227	16571
163	3246	16548
164	3266	16531
165	3286	16513
166	3302	16474
167	3322	16453
168	3341	16431
169	3360	16404
170	3377	16374
171	3395	16347
172	3413	16319
173	3432	16293
174	3451	16271
175	3468	16239
176	3487	16216
177	3506	16194
178	3525	16170
179	3543	16141
180	3562	16119
181	3581	16097
182	3601	16076
183	3620	16057
184	3637	16026
185	3655	15995
186	3673	15971
187	3687	15927
188	3702	15885
189	3721	15864
190	3740	15845
191	3758	15818
192	3777	15794
193	3795	15767
194	3813	15742
195	3832	15719
196	3850	15694
197	3868	15670
198	3889	15654
199	3909	15637
200	3926	15609
201	3945	15586
202	3964	15563
203	3980	15530
204	3999	15512
205	4018	15489
206	4039	15473
207	4057	15449
208	4077	15432
209	4096	15412
210	4116	15392
211	4135	15370
212	4155	15353
213	4172	15323
214	4189	15297
215	4207	15273
216	4226	15248
217	4244	15226
218	4269	15225
219	4293	15221
220	4317	15219
221	4340	15211
222	4363	15205
223	4389	15205
224	4409	15188
225	4430	15174
226	4449	15152
227	4470	15136
228	4490	15119
229	4508	15094
230	4522	15056
231	4543	15038
232	4557	15001
233	4571	14964
234	4585	14928
235	4600	14891
236	4614	14856
237	4628	14820
238	4643	14784
239	4657	14748
240	4676	14727
241	4690	14693
242	4705	14660
243	4724	14639
244	4743	14617
245	4758	14585
246	4774	14555
247	4790	14526
248	4806	14497
249	4822	14466
250	4839	14441
251	4858	14420
252	4876	14398
253	4895	14379
254	4916	14364
255	4934	14341
256	4952	14317
257	4971	14297
258	4989	14274
259	5007	14252
260	5025	14230
261	5046	14216
262	5060	14180
263	5078	14159
264	5095	14133
265	5112	14108
266	5129	14083
267	5149	14064
268	5166	14040
269	5186	14021
270	5205	14002
271	5223	13980
272	5242	13960
273	5256	13926
274	5273	13902
275	5287	13871
276	5302	13840
277	5322	13822
278	5340	13802
279	5358	13777
280	5378	13761
281	5399	13747
282	5418	13727
283	5436	13707
284	5457	13692
285	5474	13667
286	5493	13647
287	5510	13623
288	5530	13605
289	5549	13586
290	5563	13554
291	5577	13524
292	5596	13503
293	5612	13476
294	5626	13447
295	5643	13421
296	5659	13395
297	5678	13377
298	5692	13347
299	5709	13321
300	5724	13293
301	5740	13267
302	5756	13242
303	5773	13217
304	5788	13190
305	5803	13162
306	5818	13133
307	5832	13104
308	5848	13077
309	5864	13053
310	5880	13028
311	5896	13002
312	5913	12978
313	5929	12953
314	5944	12927
315	5960	12902
316	5975	12874
317	5990	12848
318	6009	12828
319	6024	12802
320	6040	12776
321	6055	12749
322	6070	12724
323	6085	12696
324	6101	12671
325	6117	12647
326	6131	12619
327	6147	12595
328	6164	12572
329	6182	12551
330	6198	12527
331	6213	12502
332	6229	12478
333	6245	12453
334	6261	12428
335	6277	12405
336	6293	12381
337	6309	12357
338	6324	12331
339	6341	12309
340	6359	12290
341	6375	12266
342	6396	12252
343	6412	12228
344	6428	12204
345	6444	12181
346	6460	12158
347	6476	12134
348	6493	12112
349	6509	12089
350	6526	12066
351	6542	12043
352	6558	12020
353	6574	11998
354	6591	11975
355	6607	11953
356	6624	11930
357	6640	11908
358	6657	11886
359	6673	11864
360	6689	11841
361	6706	11819
362	6722	11797
363	6739	11775
364	6755	11753
365	6772	11731
366	6788	11709
367	6805	11687
368	6821	11665
369	6838	11643
370	6854	11621
371	6871	11600
372	6887	11577
373	6905	11558
374	6923	11539
375	6938	11514
376	6953	11490
377	6967	11465
378	6983	11442
379	6998	11419
380	7014	11396
381	7029	11372
382	7044	11349
383	7059	11324
384	7074	11301
385	7090	11279
386	7106	11256
387	7121	11233
388	7137	11211
389	7153	11189
390	7168	11165
391	7184	11142
392	7199	11119
393	7214	11097
394	7230	11075
395	7247	11053
396	7262	11030
397	7281	11013
398	7301	10998
399	7321	10981
400	7337	10960
401	7354	10939
402	7371	10919
403	7387	10898
404	7404	10878
405	7421	10857
406	7438	10837
407	7454	10816
408	7470	10794
409	7486	10773
410	7502	10751
411	7517	10729
412	7533	10707
413	7549	10685
414	7564	10663
415	7580	10641
416	7596	10620
417	7612	10598
418	7628	10577
419	7644	10556
420	7660	10535
421	7675	10513
422	7691	10491
423	7707	10470
424	7721	10447
425	7737	10425
426	7753	10404
