,accuracy,f1score_weighted,rocauc
LogisticRegression,0.947922,0.947881,0.947975
KNearest,0.99888,0.99888,0.998878
Support Vector Classifier,0.97501,0.975008,0.975028
Naive Bayes,0.914103,0.913776,0.914218
DecisionTreeClassifier,0.997954,0.997954,0.997953
randomforest,0.999918,0.999918,0.999918
extratree,0.999936,0.999936,0.999935
adaboost,0.963122,0.963116,0.963146
gradientboost,0.976335,0.976333,0.976354
xgboost,0.999766,0.999766,0.999765
lgbm,0.999361,0.999361,0.99936
catboost,0.999554,0.999554,0.999554
bagging,0.999285,0.999285,0.999285
