Time,Amount
0.0,149.62
0.0,2.69
1.0,378.66
1.0,123.5
2.0,69.99
2.0,3.67
4.0,4.99
7.0,40.8
7.0,93.2
9.0,3.68
10.0,7.8
10.0,9.99
10.0,121.5
11.0,27.5
12.0,58.8
12.0,15.99
12.0,12.99
13.0,0.89
14.0,46.8
15.0,5.0
16.0,231.71
17.0,34.09
18.0,2.28
18.0,22.75
22.0,0.89
22.0,26.43
23.0,41.88
23.0,16.0
23.0,33.0
23.0,12.99
24.0,17.28
25.0,4.45
26.0,6.14
26.0,6.14
26.0,1.77
26.0,1.77
27.0,30.49
27.0,1.8
29.0,20.53
29.0,6.54
32.0,29.89
32.0,2.35
33.0,14.8
33.0,9.1
34.0,15.99
34.0,21.34
34.0,18.95
34.0,9.99
35.0,30.9
35.0,20.22
35.0,0.99
36.0,1402.95
36.0,7.99
36.0,2.09
37.0,0.99
38.0,21.76
39.0,120.96
39.0,13.84
40.0,13.84
41.0,2.67
41.0,169.05
41.0,96.94
41.0,34.13
42.0,32.51
42.0,243.66
44.0,21.55
44.0,59.9
44.0,0.75
44.0,45.71
46.0,35.0
46.0,67.97
46.0,11.45
47.0,3.63
48.0,21.66
48.0,26.72
49.0,13.18
49.0,59.99
49.0,135.51
50.0,9.79
50.0,14.8
51.0,1.98
52.0,6.67
52.0,1.46
53.0,89.17
54.0,7.53
55.0,200.01
55.0,0.76
56.0,20.22
56.0,10.84
59.0,1142.02
59.0,149.9
60.0,89.4
60.0,26.72
62.0,5.99
64.0,34.7
64.0,54.99
64.0,7.55
67.0,19.85
67.0,28.28
68.0,15.99
68.0,2.69
68.0,22.36
69.0,0.78
69.0,168.56
69.0,0.76
69.0,9.47
70.0,21.8
71.0,14.48
73.0,1.0
73.0,1.0
73.0,70.6
73.0,19.77
74.0,1.18
74.0,1.18
74.0,1.18
74.0,1.18
75.0,81.13
76.0,50.0
76.0,86.43
77.0,11.83
77.0,49.95
77.0,9.12
78.0,104.94
78.0,4.68
78.0,62.92
78.0,18.31
79.0,80.0
80.0,32.51
80.0,39.95
81.0,68.74
82.0,79.0
82.0,5.9
83.0,7.69
83.0,79.91
83.0,552.18
84.0,67.3
84.0,21.97
84.0,4.99
85.0,11.99
85.0,124.67
87.0,919.6
88.0,30.9
89.0,459.39
89.0,37.13
91.0,1.98
91.0,15.89
92.0,8.95
92.0,268.78
92.0,2.99
93.0,322.44
93.0,937.69
95.0,69.0
95.0,2.28
95.0,7.21
95.0,1.29
97.0,17.8
98.0,14.98
98.0,159.0
99.0,142.71
99.0,84.39
100.0,182.95
103.0,23.27
103.0,9.99
103.0,4.19
103.0,3828.04
105.0,35.97
105.0,1.0
106.0,24.57
107.0,1.0
108.0,148.43
108.0,25.8
