,accuracy,f1score_weighted,rocauc
LogisticRegression,0.942568,0.942691,0.945596
KNearest,0.945946,0.946057,0.948683
Support Vector Classifier,0.929054,0.929206,0.931961
Naive Bayes,0.891892,0.892129,0.896075
DecisionTreeClassifier,0.89527,0.895361,0.895292
randomforest,0.935811,0.935954,0.939423
extratree,0.935811,0.935948,0.938778
adaboost,0.925676,0.925788,0.926939
gradientboost,0.908784,0.908904,0.909573
xgboost,0.922297,0.9224,0.923208
lgbm,0.915541,0.915652,0.91639
catboost,0.929054,0.929193,0.931316
bagging,0.925676,0.925829,0.928229
